Timestamp,Roll,Pitch,Yaw,EulerX,EulerY,EulerZ,QuaternionX,QuaternionY,QuaternionZ,QuaternionW,AccX,AccY,AccZ,GyroX,GyroY,GyroZ,MagX,MagY,MagZ,LinearAccX,LinearAccY,LinearAccZ,Pressure,Altitude+10,Piezo,Label
00:03:09:799,92.84,2.65,-132.54,92.84,-2.65,132.54,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.11,-6.35,3.23,-5.13,-232.91,-441.03,-675.38,1.08,0.94,-0.06,1013.48,8.2,41,2
00:03:09:915,92.69,2.73,-132.59,92.69,-2.73,132.59,0.35,-0.63,-0.62,0.3,0.09,1,-0.12,-6.29,3.11,-5.13,-231.16,-428.73,-663.53,1.09,0.95,-0.07,1013.47,8.23,43,2
00:03:10:031,92.91,2.67,-132.59,92.91,-2.67,132.59,0.35,-0.64,-0.62,0.3,0.09,1,-0.12,-6.35,2.93,-5.19,-239.92,-434,-682.15,1.08,0.95,-0.07,1013.45,8.27,44,2
00:03:10:159,92.72,2.7,-132.53,92.72,-2.7,132.53,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.1,-6.53,3.17,-5.19,-248.68,-421.7,-663.53,1.09,0.94,-0.05,1013.47,8.15,43,2
00:03:10:275,92.67,2.77,-132.5,92.67,-2.77,132.5,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.1,-6.29,3.17,-5.25,-231.16,-421.7,-677.07,1.08,0.94,-0.06,1013.47,8.23,44,2
00:03:10:391,92.75,2.7,-132.44,92.75,-2.7,132.44,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.12,-6.29,3.23,-5.19,-232.91,-434,-671.99,1.08,0.94,-0.07,1013.46,8.15,43,2
00:03:10:506,92.88,2.78,-132.46,92.88,-2.78,132.46,0.35,-0.63,-0.62,0.3,0.08,1,-0.12,-6.35,2.99,-5.19,-236.42,-434,-678.76,1.08,0.95,-0.07,1013.49,8.04,42,2
00:03:10:622,93.19,2.61,-132.51,93.19,-2.61,132.51,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.1,-6.65,2.87,-5.19,-232.91,-437.52,-661.83,1.09,0.94,-0.05,1013.47,8.14,46,2
00:03:10:737,93.38,2.58,-132.62,93.38,-2.58,132.62,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.11,-6.71,2.81,-5.19,-227.66,-428.73,-670.3,1.08,0.94,-0.05,1013.47,8.16,43,2
00:03:10:853,93.57,2.59,-132.61,93.57,-2.59,132.61,0.35,-0.64,-0.62,0.3,0.09,1,-0.07,-6.59,2.69,-5.25,-243.42,-423.46,-678.76,1.09,0.95,-0.01,1013.48,8.15,43,2
00:03:10:968,93.46,2.63,-132.54,93.46,-2.63,132.54,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.07,-6.47,3.05,-5.19,-234.67,-439.27,-677.07,1.09,0.94,-0.01,1013.48,8.02,43,2
00:03:11:084,93.35,2.65,-132.63,93.35,-2.65,132.63,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.53,3.11,-5.25,-241.67,-449.82,-666.91,1.08,0.94,-0.02,1013.47,8.05,43,2
00:03:11:200,93.13,2.8,-132.76,93.13,-2.8,132.76,0.35,-0.64,-0.62,0.3,0.09,0.98,-0.09,-6.47,3.11,-5.19,-250.43,-437.52,-668.6,1.09,0.93,-0.04,1013.47,8.2,43,2
00:03:11:316,92.96,2.75,-132.78,92.96,-2.75,132.78,0.35,-0.64,-0.62,0.3,0.09,1,-0.13,-6.29,3.11,-5.19,-224.16,-411.16,-660.14,1.08,0.95,-0.07,1013.47,8.25,42,2
00:03:11:432,93.03,2.72,-132.71,93.03,-2.72,132.71,0.35,-0.64,-0.62,0.3,0.09,1,-0.12,-6.04,3.05,-5.25,-241.67,-439.27,-673.68,1.09,0.95,-0.07,1013.47,8.18,41,2
00:03:11:547,93.03,2.65,-132.77,93.03,-2.65,132.77,0.35,-0.64,-0.62,0.3,0.08,1,-0.11,-6.35,3.05,-5.25,-241.67,-435.76,-663.53,1.08,0.95,-0.05,1013.47,8.14,44,2
00:03:11:663,93.27,2.57,-132.8,93.27,-2.57,132.8,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.06,-6.65,2.93,-5.19,-224.16,-432.25,-677.07,1.08,0.95,-0.01,1013.46,8.19,43,2
00:03:11:778,93.37,2.52,-132.79,93.37,-2.52,132.79,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.06,-6.47,3.17,-5.19,-243.42,-437.52,-665.22,1.1,0.95,0,1013.47,8.24,41,2
00:03:11:894,93.02,2.68,-132.84,93.02,-2.68,132.84,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.07,-6.65,2.87,-5.31,-232.91,-437.52,-668.6,1.09,0.95,-0.02,1013.46,8.17,43,2
00:03:12:010,92.82,2.72,-132.88,92.82,-2.72,132.88,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.09,-6.35,3.05,-5.25,-243.42,-455.09,-682.15,1.09,0.94,-0.05,1013.46,8.34,42,2
00:03:12:126,92.69,2.82,-132.92,92.69,-2.82,132.92,0.35,-0.63,-0.62,0.3,0.1,0.99,-0.11,-6.29,3.11,-5.19,-234.67,-435.76,-673.68,1.09,0.94,-0.06,1013.46,8.35,43,2
00:03:12:242,92.79,2.78,-132.88,92.79,-2.78,132.88,0.35,-0.64,-0.62,0.3,0.07,1,-0.12,-6.35,3.05,-5.19,-243.42,-430.49,-682.15,1.07,0.95,-0.07,1013.46,8.19,45,2
00:03:12:357,92.74,2.76,-132.77,92.74,-2.76,132.77,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.1,-6.65,2.69,-5.19,-243.42,-426.97,-675.38,1.08,0.94,-0.05,1013.48,8.06,43,2
00:03:12:483,92.88,2.64,-132.73,92.88,-2.64,132.73,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.41,3.11,-5.25,-246.92,-448.06,-671.99,1.09,0.94,-0.03,1013.49,8.11,44,2
00:03:12:598,92.89,2.68,-132.82,92.89,-2.68,132.82,0.35,-0.64,-0.62,0.3,0.09,0.98,-0.09,-6.41,3.05,-5.25,-245.17,-432.25,-663.53,1.09,0.94,-0.04,1013.46,8.25,41,2
00:03:12:714,92.61,2.71,-132.82,92.61,-2.71,132.82,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.11,-6.47,3.05,-5.31,-231.16,-432.25,-670.3,1.09,0.94,-0.07,1013.46,8.16,44,2
00:03:12:830,92.6,2.68,-132.79,92.6,-2.68,132.79,0.35,-0.63,-0.62,0.3,0.08,1,-0.14,-6.16,3.23,-5.25,-229.41,-419.95,-682.15,1.08,0.96,-0.1,1013.46,8.2,43,2
00:03:12:955,92.73,2.66,-132.6,92.73,-2.66,132.6,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.08,-6.47,2.93,-5.19,-238.17,-439.27,-663.53,1.09,0.95,-0.03,1013.47,8.17,43,2
00:03:13:071,92.68,2.74,-132.63,92.68,-2.74,132.63,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.08,-6.59,2.93,-5.19,-231.16,-428.73,-666.91,1.09,0.95,-0.03,1013.46,8.15,42,2
00:03:13:187,92.38,2.76,-132.58,92.38,-2.76,132.58,0.35,-0.63,-0.62,0.3,0.08,0.98,-0.1,-6.47,3.05,-5.19,-229.41,-437.52,-682.15,1.08,0.94,-0.06,1013.46,8.33,41,2
00:03:13:303,92.44,2.79,-132.56,92.44,-2.79,132.56,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.13,-6.1,3.17,-5.19,-215.4,-434,-671.99,1.08,0.94,-0.09,1013.45,8.25,42,2
00:03:13:418,92.52,2.79,-132.55,92.52,-2.79,132.55,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.12,-6.53,3.11,-5.25,-224.16,-425.22,-677.07,1.08,0.94,-0.07,1013.48,8.03,41,2
00:03:13:534,92.87,2.67,-132.53,92.87,-2.67,132.53,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.11,-6.59,2.99,-5.13,-236.42,-437.52,-671.99,1.08,0.95,-0.06,1013.47,8.09,43,2
00:03:13:650,93.27,2.67,-132.58,93.27,-2.67,132.58,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.1,-6.53,2.81,-5.13,-229.41,-423.46,-668.6,1.08,0.94,-0.05,1013.49,8.07,41,2
00:03:13:766,93.26,2.59,-132.59,93.26,-2.59,132.59,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.06,-6.71,2.87,-5.19,-245.17,-446.3,-670.3,1.09,0.95,-0.01,1013.46,8.26,45,2
00:03:13:882,93.17,2.62,-132.67,93.17,-2.62,132.67,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.07,-6.59,2.93,-5.19,-227.66,-432.25,-683.84,1.09,0.95,-0.02,1013.46,8.27,45,2
00:03:13:997,92.97,2.54,-132.6,92.97,-2.54,132.6,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.08,-6.47,2.93,-5.19,-246.92,-416.43,-678.76,1.09,0.94,-0.03,1013.45,8.26,43,2
00:03:14:113,92.71,2.71,-132.48,92.71,-2.71,132.48,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.09,-6.59,2.99,-5.19,-243.42,-434,-671.99,1.09,0.94,-0.04,1013.47,8.15,41,2
00:03:14:228,92.73,2.71,-132.5,92.73,-2.71,132.5,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.12,-6.23,3.23,-5.19,-245.17,-425.22,-673.68,1.08,0.94,-0.07,1013.47,8.11,45,2
00:03:14:344,92.85,2.73,-132.46,92.85,-2.73,132.46,0.35,-0.63,-0.62,0.3,0.08,1,-0.11,-6.23,3.11,-5.25,-229.41,-426.97,-675.38,1.07,0.95,-0.06,1013.48,8.09,44,2
00:03:14:459,92.9,2.77,-132.45,92.9,-2.77,132.45,0.35,-0.63,-0.62,0.3,0.08,1,-0.1,-6.47,3.11,-5.25,-229.41,-441.03,-665.22,1.07,0.95,-0.05,1013.48,8.16,43,2
00:03:14:575,93.26,2.72,-132.52,93.26,-2.72,132.52,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.09,-6.59,2.93,-5.25,-234.67,-432.25,-680.45,1.09,0.94,-0.03,1013.46,8.26,43,2
00:03:14:691,93.48,2.74,-132.52,93.48,-2.74,132.52,0.35,-0.64,-0.62,0.3,0.1,1,-0.06,-6.41,2.99,-5.19,-224.16,-432.25,-670.3,1.09,0.95,0,1013.46,8.3,44,2
00:03:14:807,93.41,2.73,-132.54,93.41,-2.73,132.54,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.06,-6.71,2.87,-5.19,-250.43,-416.43,-675.38,1.09,0.94,0,1013.44,8.27,43,2
00:03:14:923,93.2,2.68,-132.47,93.2,-2.68,132.47,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.41,3.11,-5.19,-229.41,-434,-671.99,1.09,0.94,-0.02,1013.46,8.25,43,2
00:03:15:038,92.96,2.65,-132.5,92.96,-2.65,132.5,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.1,-6.29,3.11,-5.19,-229.41,-419.95,-671.99,1.09,0.95,-0.05,1013.46,8.27,41,2
00:03:15:154,92.89,2.69,-132.47,92.89,-2.69,132.47,0.35,-0.64,-0.62,0.3,0.08,1,-0.13,-6.16,3.3,-5.25,-218.91,-437.52,-678.76,1.08,0.95,-0.07,1013.45,8.3,44,2
00:03:15:280,93.1,2.61,-132.49,93.1,-2.61,132.49,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.07,-6.59,2.93,-5.19,-236.42,-426.97,-671.99,1.1,0.95,-0.01,1013.45,8.35,42,2
00:03:15:396,93.25,2.62,-132.48,93.25,-2.62,132.48,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.53,2.93,-5.25,-241.67,-428.73,-677.07,1.09,0.95,-0.02,1013.46,8.3,42,2
00:03:15:512,92.97,2.72,-132.48,92.97,-2.72,132.48,0.35,-0.64,-0.62,0.3,0.08,0.98,-0.08,-6.53,3.17,-5.25,-236.42,-451.57,-665.22,1.08,0.93,-0.03,1013.46,8.31,42,2
00:03:15:628,92.71,2.89,-132.6,92.71,-2.89,132.6,0.35,-0.63,-0.62,0.3,0.08,1,-0.08,-6.23,3.05,-5.25,-231.16,-428.73,-670.3,1.08,0.95,-0.03,1013.46,8.23,42,2
00:03:15:744,92.56,2.93,-132.53,92.56,-2.93,132.53,0.35,-0.63,-0.62,0.3,0.07,1,-0.16,-5.92,3.66,-5.07,-245.17,-428.73,-680.45,1.07,0.94,-0.11,1013.46,8.28,42,2
00:03:15:859,92.76,2.94,-132.49,92.76,-2.94,132.49,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.08,-6.41,3.17,-5.13,-239.92,-434,-675.38,1.09,0.94,-0.04,1013.46,8.31,42,2
00:03:15:975,92.63,2.8,-132.46,92.63,-2.8,132.46,0.35,-0.63,-0.62,0.3,0.08,0.98,-0.13,-6.84,2.87,-5.25,-246.92,-437.52,-675.38,1.07,0.93,-0.08,1013.46,8.24,40,2
00:03:16:091,93.21,2.61,-132.52,93.21,-2.61,132.52,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.06,-6.23,3.3,-5.25,-234.67,-428.73,-670.3,1.08,0.95,0,1013.46,8.35,43,2
00:03:16:207,93.04,2.8,-132.51,93.04,-2.8,132.51,0.35,-0.64,-0.62,0.3,0.1,0.98,-0.04,-6.77,3.23,-5.13,-227.66,-435.76,-683.84,1.1,0.93,0.01,1013.44,8.35,41,2
00:03:16:323,93.15,2.73,-132.48,93.15,-2.73,132.48,0.35,-0.64,-0.62,0.3,0.09,1,-0.1,-6.47,2.75,-5.25,-220.66,-425.22,-663.53,1.09,0.95,-0.05,1013.44,8.42,43,2
00:03:16:438,92.67,2.87,-132.47,92.67,-2.87,132.47,0.35,-0.63,-0.62,0.3,0.1,0.99,-0.04,-6.47,2.87,-5.25,-236.42,-430.49,-661.83,1.1,0.94,0,1013.45,8.3,43,2
00:03:16:554,92.47,2.78,-132.54,92.47,-2.78,132.54,0.35,-0.63,-0.62,0.3,0.08,1,-0.11,-6.23,3.17,-5.25,-245.17,-442.79,-666.91,1.08,0.95,-0.07,1013.45,8.34,43,2
00:03:16:669,92.64,2.68,-132.61,92.64,-2.68,132.61,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.1,-6.35,3.17,-5.25,-250.43,-416.43,-668.6,1.08,0.94,-0.06,1013.44,8.26,42,2
00:03:16:785,92.38,2.69,-132.56,92.38,-2.69,132.56,0.35,-0.63,-0.62,0.3,0.1,1,-0.11,-6.23,3.11,-5.31,-231.16,-449.82,-680.45,1.09,0.95,-0.07,1013.45,8.32,43,2
00:03:16:901,92.29,2.69,-132.63,92.29,-2.69,132.63,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.08,-7.02,2.75,-5.19,-236.42,-434,-675.38,1.09,0.94,-0.04,1013.45,8.31,41,2
00:03:17:017,92.55,2.59,-132.61,92.55,-2.59,132.61,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.12,-6.47,2.93,-5.19,-241.67,-425.22,-670.3,1.08,0.95,-0.08,1013.47,8.2,43,2
00:03:17:133,92.78,2.58,-132.6,92.78,-2.58,132.6,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.71,2.93,-5.19,-218.91,-434,-671.99,1.09,0.95,-0.03,1013.44,8.32,43,2
00:03:17:248,92.69,2.66,-132.61,92.69,-2.66,132.61,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.11,-6.35,3.11,-5.19,-234.67,-435.76,-677.07,1.08,0.94,-0.06,1013.45,8.26,43,2
00:03:17:364,92.97,2.63,-132.6,92.97,-2.63,132.6,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.1,-6.23,3.11,-5.13,-229.41,-437.52,-675.38,1.08,0.95,-0.05,1013.45,8.32,42,2
00:03:17:479,92.93,2.65,-132.64,92.93,-2.65,132.64,0.35,-0.64,-0.62,0.3,0.09,1,-0.1,-6.23,3.17,-5.19,-248.68,-442.79,-677.07,1.08,0.95,-0.05,1013.45,8.41,43,2
00:03:17:605,93.14,2.64,-132.69,93.14,-2.64,132.69,0.35,-0.64,-0.62,0.3,0.1,1,-0.06,-6.35,3.17,-5.13,-245.17,-425.22,-663.53,1.1,0.95,0,1013.45,8.38,41,2
00:03:17:721,92.82,2.83,-132.65,92.82,-2.83,132.65,0.35,-0.63,-0.62,0.3,0.09,1,-0.11,-6.29,3.36,-5.19,-232.91,-430.49,-658.45,1.08,0.95,-0.06,1013.45,8.35,42,2
00:03:17:837,92.92,2.73,-132.64,92.92,-2.73,132.64,0.35,-0.64,-0.62,0.3,0.09,0.98,-0.07,-6.59,2.93,-5.25,-236.42,-426.97,-678.76,1.09,0.93,-0.02,1013.46,8.31,43,2
00:03:17:982,92.52,2.82,-132.59,92.52,-2.82,132.59,0.35,-0.63,-0.62,0.3,0.08,0.99,-0.1,-6.59,3.05,-5.25,-243.42,-441.03,-678.76,1.08,0.95,-0.06,1013.46,8.26,42,2
00:03:18:098,92.81,2.76,-132.64,92.81,-2.76,132.64,0.35,-0.63,-0.62,0.3,0.09,1,-0.12,-6.47,3.05,-5.19,-229.41,-430.49,-682.15,1.08,0.95,-0.07,1013.46,8.35,42,2
00:03:18:214,93.17,2.7,-132.59,93.17,-2.7,132.59,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.11,-6.47,2.81,-5.19,-243.42,-426.97,-671.99,1.09,0.95,-0.06,1013.46,8.35,41,2
00:03:18:329,93.4,2.69,-132.57,93.4,-2.69,132.57,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.08,-6.59,2.69,-5.13,-234.67,-425.22,-673.68,1.09,0.94,-0.02,1013.45,8.34,43,2
00:03:18:445,93.67,2.68,-132.56,93.67,-2.68,132.56,0.35,-0.64,-0.61,0.3,0.08,0.99,-0.09,-6.41,2.93,-5.13,-229.41,-437.52,-671.99,1.08,0.94,-0.02,1013.45,8.32,44,2
00:03:18:560,93.43,2.79,-132.63,93.43,-2.79,132.63,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.06,-6.53,2.81,-5.25,-232.91,-437.52,-665.22,1.09,0.94,0,1013.46,8.33,41,2
00:03:18:676,92.91,2.96,-132.7,92.91,-2.96,132.7,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.07,-6.59,2.99,-5.13,-238.17,-446.3,-673.68,1.09,0.94,-0.02,1013.46,8.22,43,2
00:03:18:792,92.88,2.93,-132.73,92.88,-2.93,132.73,0.35,-0.64,-0.62,0.3,0.09,0.98,-0.09,-6.59,2.99,-5.13,-232.91,-437.52,-682.15,1.09,0.93,-0.04,1013.46,8.33,41,2
00:03:18:908,92.81,2.94,-132.71,92.81,-2.94,132.71,0.35,-0.63,-0.62,0.3,0.09,1.01,-0.12,-6.16,3.17,-5.25,-234.67,-453.33,-677.07,1.08,0.95,-0.07,1013.46,8.24,43,2
00:03:19:024,92.79,2.84,-132.82,92.79,-2.84,132.82,0.35,-0.64,-0.62,0.3,0.07,1,-0.12,-6.53,3.05,-5.25,-215.4,-437.52,-661.83,1.07,0.95,-0.07,1013.47,8.26,43,2
00:03:19:139,93.07,2.74,-132.87,93.07,-2.74,132.87,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.71,2.75,-5.25,-246.92,-426.97,-675.38,1.09,0.94,-0.03,1013.48,8.09,43,2
00:03:19:255,93.31,2.79,-132.8,93.31,-2.79,132.8,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.47,2.81,-5.13,-224.16,-432.25,-663.53,1.09,0.94,-0.03,1013.48,8.05,44,2
00:03:19:370,93.29,2.64,-132.84,93.29,-2.64,132.84,0.35,-0.64,-0.62,0.3,0.08,1,-0.07,-6.65,2.81,-5.37,-236.42,-437.52,-675.38,1.08,0.95,-0.02,1013.48,8.19,41,2
00:03:19:486,93.19,2.61,-132.84,93.19,-2.61,132.84,0.35,-0.64,-0.62,0.3,0.1,0.98,-0.07,-6.71,2.99,-5.25,-220.66,-435.76,-666.91,1.09,0.94,-0.02,1013.47,8.11,43,2
00:03:19:602,93,2.71,-132.84,93,-2.71,132.84,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.07,-6.65,3.17,-5.13,-243.42,-426.97,-678.76,1.09,0.95,-0.02,1013.45,8.29,43,2
00:03:19:718,92.98,2.76,-132.77,92.98,-2.76,132.77,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.13,-6.04,3.3,-5.25,-229.41,-437.52,-671.99,1.07,0.94,-0.08,1013.46,8.21,43,2
00:03:19:834,92.7,2.8,-132.74,92.7,-2.8,132.74,0.35,-0.63,-0.62,0.3,0.08,1,-0.12,-6.41,3.17,-5.19,-225.91,-426.97,-678.76,1.08,0.95,-0.07,1013.47,8.15,43,2
00:03:19:949,92.82,2.7,-132.64,92.82,-2.7,132.64,0.35,-0.64,-0.62,0.3,0.08,1,-0.13,-6.23,3.23,-5.13,-238.17,-428.73,-687.22,1.08,0.96,-0.08,1013.46,8.28,41,2
00:03:20:065,93.12,2.58,-132.57,93.12,-2.58,132.57,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.09,-6.71,2.99,-5.19,-238.17,-421.7,-670.3,1.07,0.95,-0.04,1013.46,8.3,43,2
00:03:20:180,93.25,2.72,-132.52,93.25,-2.72,132.52,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.08,-6.71,2.99,-5.19,-229.41,-434,-682.15,1.09,0.94,-0.03,1013.45,8.4,45,2
00:03:20:306,93.07,2.72,-132.5,93.07,-2.72,132.5,0.35,-0.64,-0.62,0.3,0.09,0.98,-0.11,-6.53,3.11,-5.19,-246.92,-430.49,-678.76,1.09,0.93,-0.05,1013.46,8.24,43,2
00:03:20:422,92.95,2.68,-132.5,92.95,-2.68,132.5,0.35,-0.64,-0.62,0.3,0.09,1,-0.12,-6.35,3.05,-5.25,-246.92,-423.46,-668.6,1.08,0.95,-0.07,1013.46,8.29,43,2
00:03:20:538,92.86,2.69,-132.53,92.86,-2.69,132.53,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.1,-6.84,2.93,-5.31,-243.42,-441.03,-675.38,1.08,0.94,-0.05,1013.45,8.39,43,2
00:03:20:654,93.05,2.73,-132.57,93.05,-2.73,132.57,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.09,-6.71,2.62,-5.19,-229.41,-430.49,-661.83,1.1,0.95,-0.03,1013.45,8.39,43,2
00:03:20:769,93.26,2.64,-132.64,93.26,-2.64,132.64,0.35,-0.64,-0.62,0.3,0.1,0.98,-0.06,-6.77,2.69,-5.13,-232.91,-444.55,-675.38,1.1,0.94,0,1013.44,8.49,42,2
00:03:20:885,93.31,2.57,-132.69,93.31,-2.57,132.69,0.35,-0.64,-0.62,0.3,0.09,1,-0.06,-6.65,2.87,-5.07,-238.17,-428.73,-677.07,1.08,0.95,0,1013.44,8.5,45,2
00:03:21:000,93.14,2.66,-132.62,93.14,-2.66,132.62,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.08,-6.53,3.17,-5.19,-229.41,-426.97,-675.38,1.08,0.94,-0.02,1013.42,8.73,43,2
00:03:21:116,92.9,2.72,-132.54,92.9,-2.72,132.54,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.09,-6.41,3.17,-5.19,-229.41,-419.95,-688.92,1.09,0.94,-0.04,1013.43,8.51,43,2
00:03:21:232,92.52,2.91,-132.38,92.52,-2.91,132.38,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.13,-6.35,3.05,-5.25,-224.16,-439.27,-670.3,1.08,0.94,-0.08,1013.44,8.45,43,2
00:03:21:348,92.45,2.87,-132.43,92.45,-2.87,132.43,0.35,-0.63,-0.62,0.3,0.08,1,-0.13,-6.35,3.23,-5.19,-238.17,-439.27,-673.68,1.08,0.95,-0.08,1013.45,8.4,43,2
00:03:21:464,92.94,2.78,-132.47,92.94,-2.78,132.47,0.35,-0.64,-0.62,0.3,0.08,1,-0.1,-6.41,3.11,-5.19,-229.41,-434,-675.38,1.08,0.95,-0.05,1013.44,8.36,44,2
00:03:21:579,93.14,2.71,-132.5,93.14,-2.71,132.5,0.35,-0.64,-0.62,0.3,0.08,1,-0.09,-6.71,2.87,-5.19,-220.66,-435.76,-673.68,1.08,0.95,-0.04,1013.46,8.27,45,2
00:03:21:695,93.36,2.7,-132.52,93.36,-2.7,132.52,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.09,-6.53,2.81,-5.19,-239.92,-437.52,-678.76,1.1,0.94,-0.03,1013.45,8.42,44,2
00:03:21:810,93.13,2.67,-132.56,93.13,-2.67,132.56,0.35,-0.64,-0.62,0.3,0.1,0.99,-0.09,-6.71,2.75,-5.19,-245.17,-439.27,-666.91,1.1,0.94,-0.03,1013.44,8.47,43,2
00:03:21:926,92.81,2.67,-132.6,92.81,-2.67,132.6,0.35,-0.64,-0.62,0.3,0.1,1,-0.09,-6.35,2.99,-5.13,-241.67,-428.73,-677.07,1.1,0.95,-0.04,1013.42,8.56,43,2
00:03:22:041,92.74,2.58,-132.58,92.74,-2.58,132.58,0.35,-0.63,-0.62,0.3,0.08,0.98,-0.12,-6.29,3.17,-5.19,-238.17,-442.79,-670.3,1.08,0.94,-0.07,1013.43,8.43,41,2
00:03:22:157,92.53,2.74,-132.63,92.53,-2.74,132.63,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.13,-6.47,3.11,-5.25,-238.17,-435.76,-690.61,1.08,0.94,-0.08,1013.44,8.33,43,2
00:03:22:273,92.87,2.7,-132.59,92.87,-2.7,132.59,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.13,-6.35,3.17,-5.19,-246.92,-423.46,-671.99,1.09,0.95,-0.08,1013.43,8.53,43,2
00:03:22:389,93.09,2.65,-132.59,93.09,-2.65,132.59,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.11,-6.59,2.93,-5.31,-236.42,-444.55,-671.99,1.09,0.95,-0.05,1013.43,8.47,43,2
00:03:22:505,93.27,2.73,-132.65,93.27,-2.73,132.65,0.35,-0.64,-0.62,0.3,0.08,1,-0.09,-6.65,2.99,-5.19,-236.42,-419.95,-658.45,1.08,0.95,-0.03,1013.44,8.48,45,2
00:03:22:644,92.78,2.82,-132.63,92.78,-2.82,132.63,0.35,-0.63,-0.62,0.3,0.09,0.99,-0.1,-6.53,2.81,-5.25,-243.42,-437.52,-661.83,1.09,0.94,-0.06,1013.43,8.49,44,2
00:03:22:759,93.12,2.69,-132.69,93.12,-2.69,132.69,0.35,-0.64,-0.62,0.3,0.07,0.99,-0.08,-6.53,3.17,-5.19,-232.91,-419.95,-675.38,1.07,0.95,-0.02,1013.44,8.28,43,2
00:03:22:875,93.14,2.77,-132.57,93.14,-2.77,132.57,0.35,-0.64,-0.62,0.3,0.09,0.99,-0.09,-6.77,2.87,-5.19,-229.41,-434,-688.92,1.08,0.94,-0.03,1013.46,8.38,43,2
00:03:23:021,93.24,2.64,-132.49,93.24,-2.64,132.49,0.35,-0.64,-0.62,0.3,0.08,0.99,-0.12,-6.23,3.23,-5.19,-229.41,-434,-688.92,1.07,0.95,-0.06,1013.43,8.51,43,2
00:03:23:137,93.13,2.69,-132.49,93.13,-2.69,132.49,0.35,-0.64,-0.62,0.3,0.09,1,-0.14,-6.29,3.17,-5.19,-239.92,-437.52,-665.22,1.08,0.95,-0.08,1013.42,8.48,43,2
00:03:23:253,93.2,2.6,-132.58,93.2,-2.6,132.58,0.35,-0.64,-0.62,0.3,0.09,1,-0.12,-6.23,2.99,-5.19,-231.16,-435.76,-673.68,1.09,0.95,-0.07,1013.45,8.45,43,2
